target_id,seed,row_id,timestamp,ptm,iptm,ranking_score,global_plddt,chain_A_avg_plddt,chain_A_iptm,chain_A_median_plddt,chain_A_ptm,chain_R_avg_plddt,chain_R_iptm,chain_R_median_plddt,chain_R_ptm
seed3_row115004,seed3,row115004,20250919_161621,0.83,0.82,0.82,80.1957389484698,83.30427860210855,0.82,86.41,0.83,54.20073469387754,0.82,43.63,0.41
seed3_row30239,seed3,row30239,20250919_180345,0.87,0.85,0.86,81.47161453341465,84.6226190011705,0.85,87.75,0.87,55.100922448979595,0.85,42.95,0.42
seed3_row73072,seed3,row73072,20250919_164306,0.85,0.84,0.85,80.90484433592046,84.1801191173599,0.84,87.13,0.86,53.52087346938776,0.84,42.24,0.41
seed3_row73136,seed3,row73136,20250919_173642,0.86,0.84,0.85,81.01586540979314,84.11761825645034,0.84,87.11,0.86,55.108000000000004,0.84,43.99,0.42
seed3_row75186,seed3,row75186,20250919_170953,0.84,0.83,0.83,80.87396931927134,84.07000780640125,0.83,87.07,0.84,54.13682448979592,0.83,41.37,0.41
seed4_row102628,seed4,row102628,20250919_195026,0.91,0.89,0.89,84.07429800684872,87.43657123179851,0.89,90.93,0.91,56.17703673469387,0.89,50.24,0.43
seed4_row103335,seed4,row103335,20250919_201705,0.89,0.87,0.88,83.06363317552166,86.26764659660152,0.87,90.05,0.89,56.43501224489796,0.87,43.42,0.43
seed4_row105444,seed4,row105444,20250919_192353,0.89,0.88,0.88,83.19124484603913,86.47568213092195,0.88,89.97,0.89,55.912987755102044,0.88,42.22,0.42
seed4_row105781,seed4,row105781,20250919_185721,0.89,0.88,0.88,83.02058529308529,86.51130862255432,0.88,90.02,0.89,54.03760816326531,0.88,42.84,0.4
seed4_row108830,seed4,row108830,20250919_183049,0.88,0.86,0.87,82.55477147118168,86.22329663849027,0.86,89.83,0.88,52.086546938775506,0.86,40.04,0.39
