cluster_rep,size
seed4_row100005,1
seed4_row100006,1
seed4_row100007,1
seed4_row100015,1
seed4_row100016,1
seed4_row100017,1
seed4_row100024,1
seed4_row100026,1
seed4_row100029,1
seed4_row100031,1
seed4_row100033,1
seed4_row100034,1
seed4_row100038,1
seed4_row100040,1
seed4_row100044,1
seed4_row100046,1
seed4_row100051,1
seed4_row100055,1
seed4_row100056,1
seed4_row100057,1
seed4_row100059,1
seed4_row100060,1
seed4_row100062,1
seed4_row100063,2
seed4_row100066,1
seed4_row100067,1
seed4_row100068,1
seed4_row100070,1
seed4_row100071,1
seed4_row100075,1
seed4_row100076,1
seed4_row100077,1
seed4_row100078,1
seed4_row100080,1
seed4_row100083,1
seed4_row100084,1
seed4_row100085,1
seed4_row100086,1
seed4_row100094,6
seed4_row100095,2
seed4_row100097,1
seed4_row100099,1
seed4_row100100,1
seed4_row100104,1
seed4_row100106,1
seed4_row100108,1
seed4_row100111,1
seed4_row100113,1
seed4_row100114,1
seed4_row100115,1
seed4_row100116,1
seed4_row100117,1
seed4_row100118,1
seed4_row100123,1
seed4_row100125,1
seed4_row100127,1
seed4_row100128,2
seed4_row100129,1
seed4_row100136,1
seed4_row100137,1
seed4_row100145,1
seed4_row100148,1
seed4_row100153,1
seed4_row100156,1
seed4_row100163,1
seed4_row100166,1
seed4_row100172,1
seed4_row100173,1
seed4_row100174,1
seed4_row100175,1
seed4_row100177,1
seed4_row100178,1
seed4_row100179,1
seed4_row100180,1
seed4_row100181,3
seed4_row100183,1
seed4_row100187,1
seed4_row100190,1
seed4_row100193,2
seed4_row100194,1
seed4_row100196,3
seed4_row100200,1
seed4_row100202,1
seed4_row100204,1
seed4_row100206,1
seed4_row100208,4
seed4_row100212,1
seed4_row100213,1
seed4_row100215,1
seed4_row100218,1
seed4_row100219,1
seed4_row100220,1
seed4_row100221,1
seed4_row100224,1
seed4_row100227,4
seed4_row100228,1
seed4_row100229,1
seed4_row100232,1
seed4_row100233,1
seed4_row100234,1
seed4_row100235,1
seed4_row100238,1
seed4_row100239,1
seed4_row100240,1
seed4_row100242,1
seed4_row100243,1
seed4_row100245,1
seed4_row100248,1
seed4_row100249,1
seed4_row100250,1
seed4_row100253,1
seed4_row100255,1
seed4_row100256,1
seed4_row100257,1
seed4_row100264,1
seed4_row100280,1
seed4_row100283,1
seed4_row100284,1
seed4_row100286,1
seed4_row100287,6
seed4_row100289,1
seed4_row100290,1
seed4_row100291,1
seed4_row100292,1
seed4_row100294,1
seed4_row100295,1
seed4_row100297,1
seed4_row100298,1
seed4_row100299,1
seed4_row100304,1
seed4_row100313,4
seed4_row100314,4
seed4_row100318,1
seed4_row100320,1
seed4_row100324,1
seed4_row100331,1
seed4_row100333,1
seed4_row100334,1
seed4_row100336,1
seed4_row100337,1
seed4_row100343,1
seed4_row100344,1
seed4_row100347,1
seed4_row100349,1
seed4_row100351,1
seed4_row100352,1
seed4_row100354,1
seed4_row100355,1
seed4_row100359,6
seed4_row100361,1
seed4_row100366,1
seed4_row100367,10
seed4_row100370,1
seed4_row100371,1
seed4_row100377,1
seed4_row100381,1
seed4_row100382,1
seed4_row100383,1
seed4_row100384,1
seed4_row100386,1
seed4_row100387,4
seed4_row100391,1
seed4_row100393,2
seed4_row100398,1
seed4_row100402,3
seed4_row100404,1
seed4_row100406,1
seed4_row100413,1
seed4_row100415,1
seed4_row100420,1
seed4_row100421,2
seed4_row100425,1
seed4_row100428,1
seed4_row100429,1
seed4_row100430,1
seed4_row100432,1
seed4_row100433,1
seed4_row100437,1
seed4_row100439,1
seed4_row100445,1
seed4_row100447,1
seed4_row100448,1
seed4_row100456,1
seed4_row100462,1
seed4_row100464,1
seed4_row100466,1
seed4_row100467,2
seed4_row100474,1
seed4_row100477,1
seed4_row100478,1
seed4_row100479,1
seed4_row100480,1
seed4_row100483,1
seed4_row100484,4
seed4_row100486,1
seed4_row100490,1
seed4_row100493,1
seed4_row100494,1
seed4_row100495,1
seed4_row100498,1
seed4_row100502,1
seed4_row100503,1
seed4_row100504,1
seed4_row100509,1
seed4_row100511,1
seed4_row100513,1
seed4_row100516,1
seed4_row100518,1
seed4_row100520,1
seed4_row100521,2
seed4_row100524,1
seed4_row100525,1
seed4_row100531,1
seed4_row100533,1
seed4_row100536,1
seed4_row100541,1
seed4_row100544,1
seed4_row100545,1
seed4_row100547,1
seed4_row100549,1
seed4_row100551,1
seed4_row100552,1
seed4_row100553,1
seed4_row100555,1
seed4_row100557,1
seed4_row100563,1
seed4_row100567,1
seed4_row100568,1
seed4_row100571,1
seed4_row100572,1
seed4_row100573,1
seed4_row100574,1
seed4_row100575,1
seed4_row100576,1
seed4_row100580,1
seed4_row100582,1
seed4_row100584,1
seed4_row100587,1
seed4_row100590,1
seed4_row100593,1
seed4_row100594,1
seed4_row100600,1
seed4_row100602,1
seed4_row100603,1
seed4_row100607,1
seed4_row100608,1
seed4_row100610,1
seed4_row100612,1
seed4_row100615,1
seed4_row100619,1
seed4_row100621,1
seed4_row100623,1
seed4_row100625,1
seed4_row100626,1
seed4_row100628,1
seed4_row100633,1
seed4_row100635,1
seed4_row100636,1
seed4_row100638,1
seed4_row100640,1
seed4_row100642,1
seed4_row100645,1
seed4_row100646,1
seed4_row100650,1
seed4_row100651,1
seed4_row100652,1
seed4_row100653,1
seed4_row100654,1
seed4_row100656,1
seed4_row100664,1
seed4_row100668,1
seed4_row100672,1
seed4_row100673,1
seed4_row100681,1
seed4_row100682,1
seed4_row100689,1
seed4_row100694,1
seed4_row100695,1
seed4_row100696,1
seed4_row100698,1
seed4_row100699,1
seed4_row100707,1
seed4_row100708,1
seed4_row100710,1
seed4_row100713,1
seed4_row100723,1
seed4_row100725,1
seed4_row100727,1
seed4_row100728,1
seed4_row100731,1
seed4_row100735,1
seed4_row100736,1
seed4_row100737,2
seed4_row100738,1
seed4_row100739,2
seed4_row100744,1
seed4_row100745,1
seed4_row100748,1
seed4_row100749,1
seed4_row100750,1
seed4_row100751,1
seed4_row100752,1
seed4_row100754,1
seed4_row100756,1
seed4_row100757,4
seed4_row100759,1
seed4_row100760,1
seed4_row100764,1
seed4_row100765,1
seed4_row100766,1
seed4_row100771,1
seed4_row100773,1
seed4_row100774,1
seed4_row100776,1
seed4_row100777,1
seed4_row100778,2
