seed,sequence_id,score_dr_logit,rank_dr_logit,score_original,rank_within_seed,plddt,ppl,dr_prob,dr_logit,pam_prob,pam_logit,z_plddt,z_negppl,ptm,iptm,tm_rank,global_plddt_summary,WED,PI,NUC,BH,LID
seed4,seed4_row71294,2.0774079562408945,1.0,0.6754058543892012,9996.0,68.11055464926591,21.93193,0.77364,1.228981,0.670438,0.710167,0.8931088576580106,0.4468898551184055,,,,,False,False,False,False,False
seed4,seed4_row111612,1.8836552813066905,2.0,0.067313597636019,25940.0,70.60930578512396,23.759701,0.516827,0.067332,0.673406,0.723632,1.922332642604252,-0.30536823042508765,,,,,False,False,False,False,False
seed4,seed4_row111216,1.7707534286474904,3.0,1.302966591772154,13.0,67.45504885993485,19.470731,0.498998,-0.004007,0.640772,0.578718,0.6231091206422591,1.459848725721759,,,,,True,True,True,True,False
seed4,seed4_row77903,1.573796127691134,4.0,1.139759325993235,249.0,67.39459283387622,20.041462,0.494033,-0.023871,0.662223,0.673218,0.5982075691952375,1.2249522264227095,,,,,False,False,False,False,False
seed4,seed4_row111730,1.5337791710386466,6.0,0.2351421175848479,19238.0,67.45297231270358,23.474126,0.821247,1.524817,0.640594,0.577945,0.6222538006504775,-0.18783375658833,,,,,True,True,True,True,False
seed4,seed4_row60269,1.4748719377188684,8.0,0.6318929211429177,10459.0,67.94494299674268,21.852833,0.577706,0.313365,0.63174,0.53969,0.8248942005858796,0.47944391018998417,,,,,True,True,True,True,False
seed4,seed4_row117607,1.4713944050415155,9.0,1.0252072735218942,825.0,67.37028501628664,20.436934,0.504064,0.016257,0.649569,0.617144,0.5881952939973186,1.06218730149171,,,,,True,True,True,True,False
seed4,seed4_row68705,1.443053840552103,10.0,0.6265124825736762,10556.0,67.4530048859935,21.964394,0.656032,0.645662,0.649597,0.617268,0.6222672174346673,0.43352860445347974,,,,,True,True,True,True,False
seed4,seed4_row114921,1.3666330482535038,11.0,0.8674565736498199,7427.0,68.75528641571194,20.736168,0.276612,-0.961327,0.637183,0.563156,1.1586708255603444,0.939031175275942,,,,,False,False,False,False,False
seed4,seed4_row39543,1.3515876035060472,12.0,1.2535817208884987,138.0,67.18925895765473,19.518418,0.377862,-0.498634,0.644905,0.596716,0.5136315158901966,1.4402221251655007,,,,,True,True,True,True,False
seed4,seed4_row116453,1.3469751951754958,13.0,0.5356253660111208,12421.0,68.31776326530613,22.116205,0.4899,-0.040407,0.665145,0.686309,0.9784571074352552,0.37104755391462946,,,,,False,False,False,False,False
seed4,seed4_row79211,1.3317015424846574,15.0,0.5574228545477498,11791.0,67.70829804560262,22.119095,0.590625,0.36655,0.627248,0.520431,0.7274212634831784,0.36985811285925585,,,,,True,True,True,True,False
seed4,seed4_row102511,1.302099448559391,17.0,0.8205266266057303,7754.0,67.53592019543974,21.11771,0.487532,-0.049882,0.641047,0.57991,0.6564196415771192,0.7819994385461025,,,,,True,True,True,True,False
seed4,seed4_row114868,1.2979314342584356,18.0,0.9737704718552828,6859.0,67.71539087947883,20.472056,0.380887,-0.485783,0.62823,0.524633,0.7303427682394195,1.0477320943128803,,,,,True,True,True,True,False
seed4,seed4_row119082,1.2931121731885313,19.0,1.112547357013468,349.0,68.1769498381877,19.84532,0.248781,-1.105127,0.608783,0.442198,0.9204567222226975,1.3056786442369055,,,,,False,False,False,False,False
seed4,seed4_row107973,1.284125978646496,20.0,0.8736780616699371,7392.0,67.49451140065148,20.905108,0.462145,-0.151709,0.635688,0.556695,0.639363554682172,0.8695003199490344,,,,,False,False,False,False,False
seed4,seed4_row31163,1.283274706161956,21.0,1.0234862730694008,832.0,67.61828990228013,20.300125,0.370305,-0.530909,0.642635,0.586817,0.6903473345844735,1.1184939593964036,,,,,True,True,True,True,False
seed4,seed4_row60712,1.2557403387995427,22.0,1.1625582850192608,223.0,67.04134364820847,19.865529,0.402676,-0.394326,0.657386,0.651666,0.4527058989069357,1.2973611998465815,,,,,True,True,True,True,False
seed4,seed4_row104500,1.2328983406320497,24.0,0.4512417178486412,14054.0,68.24530130293161,22.404252,0.489593,-0.041634,0.662607,0.674932,0.9486103675540849,0.25249567582566435,,,,,True,True,True,True,False
seed4,seed4_row114672,1.228455316451189,25.0,1.1387903285999148,250.0,67.44283387622148,19.860945,0.329021,-0.712614,0.642362,0.58563,0.618077826572949,1.2992478426832004,,,,,True,True,True,True,False
