seed,sequence_id,score,rank_within_seed,plddt,ppl,dr_prob,pam_prob,z_plddt,z_negppl,novelty_bonus,dr_logit,pam_logit,predicted,overall_pass,WED_pass,PI_pass,NUC_pass,BH_pass,LID_pass
seed2,seed2_row24650,3.1341291194637892,1.0,68.9845145631068,22.551118,0.227631,0.577,2.3694260428229166,0.8300196809155324,0.0,-1.221739,0.310469,PASS,False,False,False,False,False,False
seed2,seed2_row21549,2.8489888560875567,2.0,67.7616533546326,21.233703,0.240493,0.505011,1.8276173955605028,1.2117448007529346,0.0,-1.149981,0.020047,PASS,False,False,False,False,False,False
seed2,seed2_row38685,2.7848919776416574,3.0,67.69461102106969,21.880662,0.497739,0.603283,1.7979131938037407,1.0242864054827374,0.0,-0.009042,0.419165,PASS,False,False,False,False,False,False
seed2,seed2_row41217,2.7757572258808936,4.0,67.1214644012945,20.21154,0.214648,0.559239,1.5439712152770981,1.5079197294339939,0.0,-1.297134,0.238074,PASS,False,False,False,False,False,False
seed2,seed2_row61919,2.7665432749170784,5.0,67.8482619240097,21.854964,0.230306,0.54624,1.8659907379237728,1.0317324814190083,0.0,-1.206584,0.185491,PASS,False,False,False,False,False,False
seed2,seed2_row59192,2.7160209466444605,6.0,69.66772213247172,26.222449,0.320742,0.55649,2.6721323241178485,-0.23375996781912595,0.0,-0.750365,0.226927,PASS,False,False,False,False,False,False
seed2,seed2_row91759,2.6067442757279013,7.0,67.54279483037158,21.930555,0.210211,0.530758,1.7306485489326273,1.009829752564677,0.0,-1.323655,0.123188,PASS,False,False,False,False,False,False
seed2,seed2_row51740,2.578583460683846,8.0,67.20647441104792,21.777879,0.464727,0.598407,1.5816362896690919,1.0540681014496487,0.0,-0.141326,0.39883,PASS,True,True,True,True,True,False
seed2,seed2_row1418,2.5207291782068526,9.0,67.30791533546326,21.811956,0.205913,0.50719,1.6265813493812262,1.0441941840366096,0.0,-1.349741,0.028763,PASS,False,False,False,False,False,False
seed2,seed2_row38101,2.517381297543712,10.0,66.75611650485436,20.845339,0.324855,0.554174,1.3820978577949454,1.3242744853553814,0.0,-0.731547,0.217548,PASS,False,False,False,False,False,False
