seed,sequence_id,score,rank_within_seed,plddt,ppl,dr_prob,pam_prob,z_plddt,z_negppl,novelty_bonus,dr_logit,pam_logit,predicted,overall_pass,WED_pass,PI_pass,NUC_pass,BH_pass,LID_pass,plddt_total
seed4,seed4_row68629,1.3309434197956664,8.0,,19.168116,0.307173,0.628287,0.0,1.590191599708095,0.0,-0.813371,0.524875,PASS,True,True,True,True,True,False,67.0696009771987
seed4,seed4_row111216,1.302966591772154,13.0,,19.470731,0.498998,0.640772,0.0,1.464446845388791,0.0,-0.004007,0.578718,PASS,True,True,True,True,True,False,67.45504885993485
seed4,seed4_row39543,1.2535817208884987,138.0,,19.518418,0.377862,0.644905,0.0,1.444631601269284,0.0,-0.498634,0.596716,PASS,True,True,True,True,True,False,67.18925895765473
seed4,seed4_row20390,1.2022262280323996,169.0,,19.635657,0.325493,0.637187,0.0,1.3959156114748568,0.0,-0.72864,0.563176,PASS,True,True,True,True,True,False,67.30030944625408
seed4,seed4_row38868,1.179141324852779,200.0,,19.672783,0.294238,0.622639,0.0,1.380488749789684,0.0,-0.874889,0.500765,PASS,True,True,True,True,True,False,67.17449511400652
seed4,seed4_row116326,1.166938251454193,216.0,,19.640325,0.218471,0.628069,0.0,1.3939759306488475,0.0,-1.274598,0.523942,PASS,True,True,True,True,True,False,67.51731270358307
seed4,seed4_row60712,1.1625582850192608,223.0,,19.865529,0.402676,0.657386,0.0,1.3003975500275156,0.0,-0.394326,0.651666,PASS,True,True,True,True,True,False,67.04134364820847
seed4,seed4_row77903,1.139759325993235,249.0,,20.041462,0.494033,0.662223,0.0,1.2272926085617646,0.0,-0.023871,0.673218,PASS,False,False,False,False,False,False,67.39459283387622
seed4,seed4_row114672,1.1387903285999148,250.0,,19.860945,0.329021,0.642362,0.0,1.302302326571307,0.0,-0.712614,0.58563,PASS,True,True,True,True,True,False,67.44283387622148
seed4,seed4_row73257,1.1288476907298464,259.0,,19.813947,0.252504,0.639073,0.0,1.3218312724712091,0.0,-1.085301,0.571342,PASS,True,True,True,True,True,False,67.43680781758957
seed4,seed4_row119082,1.112547357013468,349.0,,19.84532,0.248781,0.608783,0.0,1.3087949385906683,0.0,-1.105127,0.442198,PASS,False,False,False,False,False,False,68.1769498381877
seed4,seed4_row105942,1.1102764905733502,352.0,,20.001331,0.366876,0.64718,0.0,1.2439681293905005,0.0,-0.545643,0.606665,PASS,True,True,True,True,True,False,66.81643322475568
seed4,seed4_row65005,1.0964222575481872,396.0,,19.883673,0.208261,0.644716,0.0,1.2928582250688392,0.0,-1.335441,0.595892,PASS,True,True,True,True,True,False,67.63059446254071
seed4,seed4_row28626,1.0895857254533303,432.0,,19.933916,0.236353,0.641466,0.0,1.2719808935047576,0.0,-1.172782,0.581732,PASS,True,True,True,True,True,False,67.61968241042345
